date,model,is_debiased,epoch,accuracy,precision,recall,loss
2024-05-05,camembert,false,1,0.904,0.87940234791889,0.9125138427464009,0.27163320779800415
2024-05-05,camembert,false,2,0.905,0.8732984293193717,0.9235880398671097,0.2642543613910675
2024-05-05,camembert,false,3,0.9075,0.8802966101694916,0.920265780730897,0.30882081389427185
2024-05-05,camembert,false,4,0.9055,0.8742138364779874,0.9235880398671097,0.3257451057434082
2024-05-05,camembert,true,1,0.89,0.8531540847983454,0.9136212624584718,0.2866900563240051
2024-05-05,camembert,true,2,0.908,0.8788198103266597,0.9235880398671097,0.25445374846458435
2024-05-05,camembert,true,3,0.909,0.9001109877913429,0.8981173864894795,0.2884396016597748
2024-05-05,camembert,true,4,0.9095,0.8848614072494669,0.9191583610188261,0.3010844588279724

2024-05-05,gottbert,false,1,0.87,0.8171828171828172,0.9139664804469274,0.3234296441078186
2024-05-05,gottbert,false,2,0.886,0.8628944504896626,0.8860335195530726,0.31955260038375854
2024-05-05,gottbert,false,3,0.8835,0.8498942917547568,0.8983240223463688,0.4313225746154785
2024-05-05,gottbert,false,4,0.8885,0.8559322033898306,0.9027932960893855,0.459148108959198
2024-05-05,gottbert,true,1,0.5525,0,0,-
2024-05-05,gottbert,true,2,0.5525,0,0,-
2024-05-05,gottbert,true,3,0.5525,0,0,-
2024-05-05,gottbert,true,4,0.5525,0,0,0.6886796951293945


2024-05-07,bert-base-german-cased,true,1,0.7095,0.6900726392251816,0.6368715083798883,0.5560574531555176
2024-05-07,bert-base-german-cased,true,2,0.7935,0.7982673267326733,0.7206703910614525,0.4549658000469208
2024-05-07,bert-base-german-cased,true,3,0.826,0.8161849710982659,0.788826815642458,0.4541051387786865
2024-05-07,bert-base-german-cased,true,4,0.8245,0.804932735426009,0.8022346368715084,0.49089643359184265


2024-05-08,gottbert_v2,true,1,0.83,0.7980665950590763,0.8301675977653631,0.39631861448287964
2024-05-08,gottbert_v2,true,2,0.8585,0.8097165991902834,0.8938547486033519,0.3537026345729828
2024-05-08,gottbert_v2,true,3,0.8695,0.8401287553648069,0.8748603351955307,0.41275641322135925
2024-05-08,gottbert_v2,true,4,0.8705,0.8326359832635983,0.8893854748603351,0.4646563231945038


2024-05-10,bert-base-german-cased,false,1,0.8355,0.7905544147843943,0.8603351955307262,0.3661257028579712
2024-05-10,bert-base-german-cased,false,2,0.854,0.8346281908990011,0.8402234636871508,0.34439733624458313
2024-05-10,bert-base-german-cased,false,3,0.8525,0.8393665158371041,0.829050279329609,0.45844343304634094
2024-05-10,bert-base-german-cased,false,4,0.858,0.8267379679144385,0.8636871508379889,0.4794023931026459
